,person,subset,# shots,Feature Set,AccLDAfew,AccLDAadapted,AccLDAsemi,AccLDAsemiAdapt,AccLDAsemi_shot,AccLDAsemiAdapt_shot,AccLDAsemi_accumulative,AccLDAsemiAdapt_accumulative,AccQDAfew,AccQDAadapted,AccQDAsemi,AccQDAsemiAdapt,AccQDAsemi_shot,AccQDAsemiAdapt_shot,AccQDAsemi_accumulative,AccQDAsemiAdapt_accumulative
12,24,"[1, 2]",2,1,0.8832389925160506,0.9745469741290886,0.9164608897162178,0.9338031379402044,0.9164608897162178,0.9338031379402044,0.9164608897162178,0.9338031379402044,0.6627474072104244,0.8496182046119364,0.7806291076245109,0.8911218326178627,0.7806291076245109,0.8911218326178627,0.7806291076245109,0.8911218326178627
13,24,"[1, 2, 3]",3,1,0.8832389925160506,0.9745469741290886,0.9681267332750826,0.9761805265357292,0.9744520001519583,0.980055464802644,0.9663032329141815,0.9660942901644949,0.6627474072104244,0.8496182046119364,0.912623941040155,0.9427306917904494,0.9106674771112715,0.9570717623371197,0.899441553014474,0.9315617520799301
14,24,"[1, 2, 3, 4]",4,1,0.8832389925160506,0.9745469741290886,0.9827337309577175,0.9885081487672378,0.9883561904038294,0.9913383732857197,0.9833035748204992,0.9798085324621054,0.6627474072104244,0.8496182046119364,0.9255404019298712,0.9682976864339171,0.9436614367663261,0.9858488774075903,0.9241537818637693,0.9386278159784219
15,25,"[1, 2]",2,1,0.9884467753581879,0.9981758066355033,0.9972637099532551,0.9972447079390415,0.9972637099532551,0.9972447079390415,0.9972637099532551,0.9972447079390415,0.9884277733439745,0.9996959677725838,0.9942803937217345,0.9979667844791548,0.9942803937217345,0.9979667844791548,0.9942803937217345,0.9979667844791548
16,25,"[1, 2, 3]",3,1,0.9884467753581879,0.9981758066355033,0.9990879033177517,0.9992209174172463,0.9987078630334816,0.9998099798578649,0.9992019154030327,0.9992399194314597,0.9884277733439745,0.9996959677725838,0.9970546877969064,0.9977577623228062,0.9966556454984228,0.9972257059248281,0.9969596777258389,0.9959145669440961
17,25,"[1, 2, 3, 4]",4,1,0.9884467753581879,0.9981758066355033,0.9990689013035382,0.9992209174172463,0.9996009577015164,0.9996769657583704,0.9995249496446623,0.9995439516588759,0.9884277733439745,0.9996959677725838,0.9979287804507277,0.9980807965644358,0.9975487401664577,0.9976247482233117,0.9974727321096036,0.9973587200243226
18,26,"[1, 2]",2,1,0.9962007522510543,0.996713650697162,0.999924015045021,0.9994681053151476,0.999924015045021,0.9994681053151476,0.999924015045021,0.9994681053151476,0.9886402492306523,0.9932183427681319,0.9989552068690399,0.9994491090764028,0.9989552068690399,0.9994491090764028,0.9989552068690399,0.9994491090764028
19,26,"[1, 2, 3]",3,1,0.9962007522510543,0.996713650697162,0.9999430112837658,1.0,0.9998860225675317,0.9999810037612553,1.0,1.0,0.9886402492306523,0.9932183427681319,1.0,1.0,1.0,1.0,1.0,1.0
20,26,"[1, 2, 3, 4]",4,1,0.9962007522510543,0.996713650697162,1.0,1.0,1.0,1.0,1.0,1.0,0.9886402492306523,0.9932183427681319,1.0,1.0,1.0,1.0,1.0,1.0
21,27,"[1, 2]",2,1,0.8608999695956218,0.8795226512617818,0.8104096989966555,0.8151033748859836,0.8104096989966555,0.8151033748859836,0.8104096989966555,0.8151033748859836,0.9112002128306476,0.9017748555792034,0.8543250228032837,0.8338020674977197,0.8543250228032837,0.8338020674977197,0.8543250228032837,0.8338020674977197
